,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2008,71,5,California,0.6170,0.6090,0.4950,13743177,13561900,22261504,27411094,0.1790,173670,0,120753,234047,486207
2008,62,6,Colorado,0.7160,0.7100,0.6470,2422236,2401361,3382959,3708955,0.0800,23274,0,11654,29101,71854
2008,1,7,Connecticut,,0.6660,0.6040,,1646792,2471082,2725917,0.0850,20661,0,2328,21825,45799
2008,11,8,Delaware,0.6580,0.6560,0.6060,413562,412398,628200,680493,0.0530,7075,17216,551,15959,12658
2008,55,9,District of Columbia,0.6170,0.6150,0.5520,266871,265853,432566,481971,0.1030,0,0,0,0,6916
2008,43,10,Florida,0.6660,0.6610,0.5760,8453743,8390744,12687407,14558436,0.1120,102388,279760,4528,244532,451907
2008,44,11,Georgia,0.6270,0.6250,0.5560,3940705,3924440,6281872,7063638,0.0730,52719,397081,23448,262984,141001
2008,82,12,Hawaii,0.4900,0.4880,0.4380,456064,453568,930067,1036088,0.0970,5955,0,0,5955,20090
2008,63,13,Idaho,0.6480,0.6360,0.5860,667506,655032,1029416,1117842,0.0490,7290,49513,3361,33727,26779
2008,21,14,Illinois,0.6430,0.6360,0.5740,5578195,5523051,8681138,9615700,0.0920,45474,0,0,45474,200530
2008,22,15,Indiana,0.6030,0.5910,0.5700,2805986,2751054,4653019,4826231,0.0300,28322,0,0,28322,89605
2008,31,16,Iowa,0.6970,0.6940,0.6690,1543662,1537123,2216094,2298515,0.0260,8766,22958,3159,21825,43108
2008,32,17,Kansas,0.6350,0.6200,0.5880,1264208,1235872,1991759,2100084,0.0420,8539,16263,4958,19150,42495
2008,51,18,Kentucky,0.5900,0.5790,0.5570,1858578,1826508,3152629,3277617,0.0220,21706,51035,12277,53362,58518
2008,45,19,Louisiana,0.6180,0.6120,0.5870,1979852,1960761,3205794,3342279,0.0200,38381,40025,24636,70712,68285
2008,2,20,Maine,0.7180,0.7060,0.6960,744456,731163,1036242,1049816,0.0130,0,0,0,0,21362
2008,52,21,Maryland,0.6780,0.6700,0.6060,2661905,2631596,3925117,4342850,0.0780,23324,96360,13220,78114,77074
2008,3,22,Massachusetts,0.6730,0.6680,0.6090,3102995,3080985,4612550,5058035,0.0860,11408,0,0,11408,77830
2008,23,23,Michigan,0.6970,0.6920,0.6640,5039080,5001766,7229512,7528460,0.0330,48738,0,0,48738,163673
2008,33,24,Minnesota,0.7810,0.7780,0.7320,2921147,2910369,3740142,3975974,0.0400,9910,127627,5081,76264,70063
2008,46,25,Mississippi,,0.6100,0.5890,,1289856,2113347,2190402,0.0190,22754,22267,2922,35349,45082
2008,34,26,Missouri,0.6820,0.6760,0.6490,2950504,2925205,4327572,4507688,0.0250,30186,57360,20683,69208,96710
2008,64,27,Montana,0.6710,0.6630,0.6510,497599,491960,741853,755384,0.0130,3545,0,0,3545,22898
2008,35,28,Nebraska,0.6370,0.6290,0.5940,811923,801281,1274719,1348048,0.0430,4520,19606,846,14746,27311
2008,65,29,Nevada,0.5720,0.5700,0.4840,970019,967848,1696831,2000277,0.1410,12743,13337,3908,21366,45656
2008,4,30,New Hampshire,0.7250,0.7170,0.6960,719643,710970,992226,1021787,0.0260,2702,0,0,2702,25558
2008,12,31,New Jersey,0.6770,0.6700,0.5820,3910220,3868237,5776527,6651284,0.1170,25953,128737,15849,98246,110559
2008,66,32,New Mexico,0.6120,0.6090,0.5510,833365,830158,1362629,1505830,0.0830,6402,20883,3724,18706,31444
2008,13,33,New York,0.5960,0.5900,0.5140,7721718,7640640,12948969,14876971,0.1240,60347,0,52225,86460,263787
2008,47,34,North Carolina,0.6610,0.6550,0.6070,4354571,4310789,6584302,7096503,0.0590,39482,109678,3409,96026,133483
2008,36,35,North Dakota,0.6360,0.6270,0.6170,321133,316621,504762,512768,0.0130,1452,0,0,1452,11179
2008,24,36,Ohio,0.6780,0.6690,0.6510,5773777,5698260,8513079,8757453,0.0220,51686,0,0,51686,174703
2008,53,37,Oklahoma,0.5630,0.5580,0.5280,1474694,1462661,2619121,2770219,0.0400,25864,27940,3073,41371,57046
2008,72,38,Oregon,0.6830,0.6770,0.6270,1845251,1827864,2700327,2916246,0.0690,14167,0,0,14167,63480
2008,14,39,Pennsylvania,0.6420,0.6360,0.6130,6071357,6012692,9457942,9813664,0.0310,49215,0,0,49215,203791
2008,5,40,Rhode Island,0.6230,0.6180,0.5710,475428,471766,763608,825786,0.0700,4045,0,0,4045,13827
2008,48,41,South Carolina,0.5820,0.5800,0.5530,1927153,1920969,3311044,3473488,0.0340,24326,41254,1947,45927,72241
2008,37,42,South Dakota,0.6560,0.6470,0.6340,387449,381975,590720,602539,0.0120,3342,0,2720,4702,20144
2008,54,43,Tennessee,0.5740,0.5700,0.5450,2618238,2599749,4563192,4771926,0.0310,27228,58109,10578,61572,127930
2008,49,44,Texas,,0.5410,0.4550,,8077795,14929810,17756112,0.1350,172506,427080,102921,437507,549216
2008,67,45,Utah,0.5710,0.5600,0.5180,971185,952370,1700286,1840087,0.0720,6552,0,0,6552,31783
2008,6,46,Vermont,0.6770,0.6730,0.6600,326822,325046,482677,492610,0.0200,0,0,0,0,10546
2008,40,47,Virginia,0.6760,0.6700,0.6180,3753059,3723260,5555415,6022123,0.0660,38276,53614,4471,67319,124689
2008,73,48,Washington,0.6730,0.6660,0.6030,3071587,3036878,4561163,5032960,0.0780,17926,113134,11768,80377,138296
2008,56,49,West Virginia,0.5120,0.4990,0.4910,731691,713362,1430439,1453045,0.0080,6059,8283,2005,11203,33788
2008,25,50,Wisconsin,0.7270,0.7240,0.6930,2997086,2983417,4120694,4306876,0.0300,23379,50418,18105,57641,78721
2008,68,51,Wyoming,0.6310,0.6280,0.6090,256035,254658,405732,418040,0.0170,2084,5438,727,5167,13832
2006,0,0,United States,0.4130,0.4040,0.3720,85769132,83815592,207643594,225485399,0.0860,1566526,2418574,587305,3363118,4417527
2006,41,1,Alabama,,0.3750,0.3590,,1250401,3338467,3513952,0.0230,28241,55766,7795,63919,
2006,81,2,Alaska,0.5120,0.5100,0.4780,238307,237322,465169,492452,0.0450,5069,6095,973,9090,
2006,61,3,Arizona,0.3960,0.3890,0.3330,1553032,1526782,3923786,4490327,0.1260,35892,73265,6213,78738,
2006,42,4,Arkansas,0.3890,0.3870,0.3640,780409,774680,2004193,2130080,0.0330,13729,31508,16666,46149,
2006,71,5,California,0.4120,0.4020,0.3220,8899059,8679416,21582217,26739781,0.1890,175512,0,111744,287256,
2006,62,6,Colorado,0.4810,0.4730,0.4310,1586105,1558405,3297308,3569901,0.0800,22481,0,8196,30677,
2006,1,7,Connecticut,0.4770,0.4660,0.4250,1162391,1134780,2437559,2683538,0.0790,20566,0,2571,23137,
2006,11,8,Delaware,0.4290,0.4230,0.3900,258053,254099,601341,659410,0.0530,7206,16958,600,16285,
2006,55,9,District of Columbia,0.2870,0.2830,0.2550,122356,120620,426612,466827,0.0970,0,0,0,0,
2006,43,10,Florida,0.4010,0.3960,0.3430,4884544,4829270,12187858,14211669,0.1180,92969,272977,4785,234243,
2006,44,11,Georgia,0.3510,0.3470,0.3070,2143845,2122258,6115331,6799654,0.0740,52792,422790,22851,287038,
2006,82,12,Hawaii,0.3840,0.3790,0.3460,348988,344315,908925,1012975,0.0810,5967,0,0,5967,
2006,63,13,Idaho,0.4620,0.4540,0.4200,458927,450832,993010,1072895,0.0440,7124,48609,2482,33911,
2006,21,14,Illinois,0.4140,0.4020,0.3630,3586292,3486671,8667453,9483856,0.0920,45106,0,0,45106,
2006,22,15,Indiana,0.3770,0.3660,0.3520,1719351,1666922,4559294,4743856,0.0310,26091,0,0,26091,
2006,31,16,Iowa,0.4920,0.4810,0.4630,1071509,1048033,2178322,2267991,0.0280,8875,22622,3560,23746,
2006,32,17,Kansas,0.4430,0.4360,0.4110,864083,849700,1948850,2062668,0.0470,8816,15518,4666,21241,
2006,51,18,Kentucky,0.4420,0.4040,0.3900,1370062,1253526,3100828,3218000,0.0190,20000,41162,10162,50743,
2006,45,19,Louisiana,0.3140,0.2970,0.2830,954896,902498,3043573,3239317,0.0200,37012,38057,24072,80113,
2006,2,20,Maine,,0.5420,0.5330,,550865,1016287,1037200,0.0170,0,0,0,0,
2006,52,21,Maryland,0.4720,0.4670,0.4220,1809237,1788316,3833349,4261205,0.0790,22945,75698,14271,75065,
2006,3,22,Massachusetts,0.4930,0.4880,0.4440,2243835,2219779,4552794,4970780,0.0870,11032,0,0,11032,
2006,23,23,Michigan,0.5280,0.5210,0.4990,3852008,3801256,7292624,7532918,0.0360,51577,0,0,51577,
2006,33,24,Minnesota,0.6050,0.6010,0.5640,2217552,2202987,3667707,3896561,0.0420,9108,127289,4007,76760,
2006,46,25,Mississippi,,0.2940,0.2850,,610921,2077420,2154112,0.0130,21068,24107,1970,35092,
2006,34,26,Missouri,0.5120,0.5000,0.4810,2178278,2128459,4253541,4427266,0.0220,30167,54963,18374,76023,
2006,64,27,Montana,0.5710,0.5640,0.5560,411061,406505,720447,734669,0.0100,3572,0,0,3572,
2006,35,28,Nebraska,0.4880,0.4760,0.4510,610499,596087,1251027,1325932,0.0430,4407,18731,662,14435,
